construct,role,occurrences
Services in Support of the Product (SSP),MODERATES,4
Cascading Ambivalence Effect,MEDIATES,3
Financial Slack Resources,MODERATES,2
Services in Support of the Client's Actions (SSC),MODERATES,2
Operational Slack,MODERATES,2
International Market Complexity,MODERATES,2
Strategic Ambivalence,MEDIATES,1
Tactical Ambivalence,MEDIATES,1
Operational Ambivalence,MEDIATES,1
Human Resource Slack,MODERATES,1
Strategic Slack Resources,MODERATES,1
Technology Turbulence (TT),MODERATES,1
Servitization (SER),MODERATES,1
Risk-Taking Ability (RA),MODERATES,1
Internationalization (INT),MODERATES,1
International Inter-Organizational Marketing Capability,MODERATES,1
International Product-Service Innovation,MODERATES,1
Industry 4.0 Technology Breadth,MODERATES,1
Servitisation Strategy,MODERATES,1
