rank,title,doi,year,pagerank_score
1,Digital servitization business models in ecosystems: A theory of the firm (Kohtamäki et al.),10.1016/j.jbusres.2019.04.001,2019,10.115
2,Interplay of provider and customer factors for servitization success: a transaction cost theory approach,,2025,3.988
3,A maturity framework for autonomous solutions in manufacturing firms,10.1007/s11365-020-00717-3,2022,3.613
4,From servitization to digital servitization: How digitalization transforms companies' transition towards services,,2022,3.199
5,When and why do customer solutions pay off in business markets?,10.1007/s11747-017-0529-6,2017,3.167
6,The impact of IoT on servitization: an exploration of changing supply relationships,,2020,3.106
7,Inherent paradoxes in the shift to autonomous solutions provision,,2022,2.880
8,Transformational shifts through digital servitization,,2020,2.698
9,Service strategy's effect on firm performance: A meta-analysis of the servitization literature,10.1007/s11747-023-00971-1,2024,2.684
10,Adopting a platform approach in servitization: Leveraging the value of digitalization,10.1016/j.ijpe.2016.12.033,2017,2.538
11,Reviewing literature on digitalization business model innovation and sustainable industry,10.3390/su11020391,2019,2.538
12,Under which conditions do manufacturing companies choose FDI for service provision? (fsQCA),,2022,2.434
13,Managing the transition from products to services,,2003,2.181
14,Innovation and competitiveness in the industry 4.0 era: the SYNCHRO framework,,2025,2.108
15,The impact of servitization and digitization on productivity and profitability,,2021,2.007
16,Business hybrid offerings by manufacturing SMEs,,2023,1.908
17,Internal levers for servitization,,2018,1.760
18,The relationship between digitalization and servitization,,2020,1.748
19,International servitization: theoretical roots research gaps and implications,,2023,1.676
20,Servitization of Business: Adding Value by Adding Services (Vandermerwe & Rada),,1988,1.519
21,Boosting Servitization through Digitization,,2017,1.478
22,Servitization and performance: impacts on small and medium enterprises,,2020,1.403
